yearID,corr_payroll_actual_wins,corr_payroll_cf_wins,small_market_mean_gain,big_market_mean_gain,std_actual_wins,std_cf_wins
2003,0.4187035142326098,-0.25183918909194447,8.814704420363395,-9.396843992410453,13.366152138461755,7.912403013449933
2004,0.5410148051398752,-0.3640072125088002,10.126577969647029,-10.278993679818555,13.546683862782098,6.446384187956132
2005,0.4910695466398286,-0.07772085873252009,3.607094920463612,-4.314901792729751,10.834173265405514,5.447621918461842
2006,0.5362759800900642,-0.4686940745177828,4.6024045963628755,-8.05276012083519,10.084071883278423,8.579966325250956
2007,0.49105528279847166,-0.1935755570002401,1.5936966564474715,-6.6527029786466345,9.293985201168562,8.482436771673427
2008,0.32697333856047406,-0.5019704364314475,6.550126606518252,-10.974473185231275,11.085664347389764,7.986525472610145
2009,0.4763102634996633,-0.36914578010264715,7.232393358875173,-5.556494810753492,11.434973576255224,7.946994107494923
2010,0.3688694331565411,-0.435814460219899,5.4185989007121504,-5.927913189385213,11.004701189758041,5.383614479127232
2011,0.4092029164373873,-0.5021147176047759,4.227719836282171,-6.5989683844415765,11.415305313582238,6.45952370573264
2012,0.19005668003112408,-0.34462580694449474,5.299929600106682,-7.67038116501629,11.933725030494388,7.252794685344113
2013,0.2995794485462569,-0.49023758201635625,4.950888154875242,-5.841645571429529,12.254438557837567,4.935342331373327
2014,0.32243258258720614,-0.35688831610405963,-0.7948026029666465,-4.26498565966318,9.598850505893024,7.102869553027063
2015,0.23878348758927972,-0.40612073488626427,0.2759971133541612,-8.288025017136997,10.45345457940475,6.372222289506914
2016,0.6362879114438605,-0.4091236825445344,5.594396329431119,-12.109063709015022,10.66851636261155,6.7572897414861
