yearID,n_teams,std_win_pct,idealized_std,noll_scully_ratio
2003,30,0.0826017439011134,0.039283710065919304,2.102697117011226
2004,30,0.0833062363316954,0.039299886187694394,2.1197576993945675
2005,30,0.06687761274941677,0.03927562949192332,1.702776342850712
2006,30,0.062224804846282046,0.039291795629464006,1.5836589763696396
2007,30,0.057163337530883956,0.03927562949192332,1.4554403906534223
2008,30,0.0682467335033541,0.039299886187694394,1.7365631334760343
2009,30,0.07036928782721136,0.039283710065919304,1.7913096219560085
2010,30,0.0679302542577657,0.039283710065919304,1.7292219636021289
2011,30,0.07047011027313624,0.039291795629464006,1.793506994124044
2012,30,0.07366496932403943,0.039283710065919304,1.8752039764173825
2013,30,0.07544536474336704,0.03927562949192332,1.920920573886198
2014,30,0.05925216361662361,0.039283710065919304,1.5083138409584178
2015,30,0.06446702228029083,0.039291795629464006,1.64072476830121
2016,30,0.06620137475313553,0.039299886187694394,1.6845182308406927
2017,30,0.0711794288923861,0.039283710065919304,1.8119324466285076
2018,30,0.09034511829535607,0.03927562949192332,2.3002844120915933
2019,30,0.09795982588230094,0.039291795629464006,2.4931369084298898
2020,30,0.09298141414506396,0.06462156410892719,1.4388604706059565
2021,30,0.08932599855087145,0.039291795629464006,2.273400772854676
2022,30,0.09063490235102,0.039283710065919304,2.307187946325125
2023,30,0.08100470700657843,0.039283710065919304,2.062043194765718
2024,30,0.07714855950935094,0.039291795629464006,1.963477572694566
2025,30,0.07220575580115518,0.039283710065919304,1.838058464437082
