yearID,teamID,W,L,G,actual_payroll,actual_roster_WAR,roster_size,cf_roster_WAR,cf_spend,cf_n_players,actual_expected_wins,cf_expected_wins,moneyball_gain_wins,payroll_millions
2003,ANA,77,85,162,79031667,24.05074671931476,41,29.809783537216415,78834500.0,23,72.05074671931476,77.80978353721642,5.759036817901659,79.031667
2003,ARI,84,78,162,80657000,34.857440349037105,39,31.906331852410172,80476162.0,23,82.8574403490371,79.90633185241018,-2.9511084966269294,80.657
2003,ATL,101,61,162,106243667,45.62159504774132,32,32.57564565008636,99932500.0,32,93.62159504774132,80.57564565008636,-13.045949397654965,106.243667
2003,BAL,71,91,163,73877500,21.195181089673746,39,33.746823510595995,73793367.0,21,69.19518108967375,81.74682351059599,12.551642420922235,73.8775
2003,BOS,95,67,162,99946500,54.9228740739317,39,11.052086516046707,86833167.0,39,102.9228740739317,59.05208651604671,-43.87078755788499,99.9465
2003,CHA,86,76,162,51010000,31.132282927670158,35,30.761609034316994,50939534.0,23,79.13228292767016,78.76160903431699,-0.370673893353171,51.01
2003,CHN,88,74,162,79868333,32.574759498674936,33,47.60645399625278,79736667.0,21,80.57475949867494,95.60645399625278,15.031694497577845,79.868333
2003,CIN,69,93,162,59355667,14.156407716094106,57,33.73430995369673,59278667.0,19,62.15640771609411,81.73430995369674,19.57790223760263,59.355667
2003,CLE,68,94,162,48584834,19.014852763068006,51,42.338643067032955,48583571.0,16,67.014852763068,90.33864306703296,23.323790303964955,48.584834
2003,COL,74,88,162,67179667,27.822311389891247,41,24.383357072426403,66936073.0,21,75.82231138989124,72.3833570724264,-3.438954317464834,67.179667
2003,DET,43,119,162,49168000,2.5166446180739834,43,30.69304869748419,48883000.0,17,50.51664461807398,78.69304869748419,28.176404079410204,49.168
2003,FLO,91,71,162,49450000,36.10748508641269,36,29.62099746593747,49170167.0,18,84.10748508641268,77.62099746593748,-6.486487620475202,49.45
2003,HOU,87,75,162,71040000,34.71614970165562,40,31.655098013658556,70914000.0,21,82.71614970165561,79.65509801365856,-3.0610516879970504,71.04
2003,KCA,83,79,162,40518000,21.54780781592619,46,33.94149643191658,40377500.0,14,69.54780781592619,81.94149643191659,12.3936886159904,40.518
2003,LAN,85,77,162,105572620,24.85007636367669,41,14.16532363375651,86335667.0,41,72.85007636367669,62.16532363375651,-10.684752729920184,105.57262
2003,MIL,68,94,162,40627000,20.26711818412101,38,32.02811997468702,40476667.0,15,68.26711818412102,80.02811997468703,11.761001790566013,40.627
2003,MIN,90,72,162,55505000,33.873368424085015,40,21.494579484022985,55441667.0,24,81.87336842408502,69.49457948402298,-12.378788940062037,55.505
2003,MON,83,79,162,51948500,23.167816557851804,42,30.22543846014361,51800119.0,18,71.16781655785181,78.22543846014361,7.0576219022918,51.9485
2003,NYA,101,61,163,152749814,55.362827606722135,41,26.15384024427038,129719600.0,41,103.36282760672213,74.15384024427038,-29.20898736245175,152.749814
2003,NYN,66,95,161,116876429,13.76077806312486,48,13.520662497662984,81525477.0,48,61.76077806312486,61.52066249766298,-0.24011556546187762,116.876429
2003,OAK,96,66,162,50260834,31.784988761796118,37,32.1069001909661,50194000.0,20,79.78498876179611,80.1069001909661,0.3219114291699867,50.260834
2003,PHI,86,76,162,70780000,35.69896533782801,34,31.847474967511737,70769500.0,20,83.69896533782801,79.84747496751174,-3.85149037031627,70.78
2003,PIT,75,87,162,54812429,32.36792165680617,43,28.802119716537593,54786100.0,19,80.36792165680617,76.80211971653759,-3.565801940268585,54.812429
2003,SDN,64,98,162,45210000,17.083340979980704,47,34.90339532884369,45074300.0,19,65.0833409799807,82.90339532884369,17.820054348862982,45.21
