yearID,playerID,teamID,WAR,salary,value_per_dollar
2003,wellsve01,TOR,5.907536932409288,520000.0,11.360647946940938
2003,pujolal01,SLN,9.87186095061274,900000.0,10.968734389569711
2003,johnsni01,NYA,3.4654489721879878,364100.0,9.517849415512188
2004,dunnad01,CIN,6.351270025832939,445000.0,14.272516911984132
2004,wilkebr01,MON,4.775625224336361,375000.0,12.735000598230295
2004,blakeca01,CLE,3.826467514326583,352400.0,10.858307361880202
2005,bayja01,PIT,7.211625549817295,355000.0,20.314438168499425
2005,cabremi01,FLO,6.570577795791863,370000.0,17.758318367005035
2005,hafnetr01,CLE,6.570436446668167,377400.0,17.40974151210431
2006,howarry01,PHI,9.19170363516474,355000.0,25.892122915957017
2006,cabremi01,FLO,7.399993831493417,472000.0,15.677953032825036
2006,morneju01,MIN,5.653899293812348,385000.0,14.685452711200902
2007,fieldpr01,MIL,7.539663267903155,415000.0,18.16786329615218
2007,ramirha01,FLO,6.512128145579488,402000.0,16.199323745222607
2007,hawpebr01,COL,5.257268634874175,403000.0,13.045331600184056
2008,ramirha01,FLO,6.594707521826727,439000.0,15.022112805983433
2008,ludwiry01,SLN,6.124489958105471,411000.0,14.901435421181196
2008,hamiljo03,TEX,5.713067958681122,396830.0,14.396764253411087
2009,sandopa01,SFN,5.955333625574683,401750.0,14.823481333104377
2009,lindad01,TOR,5.799884978081899,411800.0,14.084227727250846
2009,zobribe01,TBA,5.842345721515378,415900.0,14.047477089481553
2010,gonzaca01,COL,6.940128117504379,406000.0,17.093911619468912
2010,vottojo01,CIN,8.279111666891255,525000.0,15.769736508364295
2010,choosh01,CLE,5.654114408660108,461100.0,12.262230337584272
2011,stantmi03,FLO,5.226018309955478,416000.0,12.562544014316053
2011,avilaal01,DET,5.090793824934221,425000.0,11.978338411609933
2011,mccutan01,PIT,4.669004016888206,452500.0,10.318240921299902
2012,stantmi03,MIA,5.364961168791678,480000.0,11.177002434982661
2012,poseybu01,SFN,6.768319985953939,615000.0,11.005398351144617
2012,mccutan01,PIT,7.268398935322951,708333.0,10.261273913996597
2013,troutmi01,LAA,8.96962678525058,510000.0,17.587503500491334
2013,goldspa01,ARI,7.861934903271877,500000.0,15.723869806543753
2013,carpema01,SLN,6.325154196961828,504000.0,12.549909120956007
2014,dickeco01,COL,5.009181647145824,500000.0,10.018363294291648
2014,klubeco01,CLE,4.9227398243496285,514000.0,9.577314833365035
2014,donaljo02,OAK,4.54881641164508,500000.0,9.09763282329016
2015,arenano01,COL,5.642574316657135,512500.0,11.009901105672458
2015,polloaj01,ARI,5.431312052797372,519500.0,10.454883643498311
2015,machama01,BAL,5.566000733498553,548000.0,10.156935645070352
2016,bettsmo01,BOS,6.07624856534391,566000.0,10.735421493540478
2016,bryankr01,CHN,6.799457187911497,652000.0,10.428615318882665
2016,seageco01,LAN,5.31724762245379,510000.0,10.425975730301548
